,loc,lat,lon,drv
0,depo,-6.2317053,106.7962466,targets_2.kml
1,tgt1,-6.2388725,106.7889939,targets_2.kml
2,tgt2,-6.2481298,106.7935,targets_2.kml
3,tgt3,-6.2358008,106.7959891,targets_2.kml
4,tgt4,-6.2381046,106.8055592,targets_2.kml
5,tgt5,-6.2298709,106.8130265,targets_2.kml
6,tgt6,-6.2289323,106.8038856,targets_2.kml
